context	label	split
Thus , over the past few years , along with advances in the use of learning and statistical methods for acquisition of full parsers ( <CITED HERE> ; Charniak , 1997a ; Charniak , 1997b ; Ratnaparkhi , 1997 ) , significant progress has been made on the use of statistical learning methods to recognize shallow parsing patterns syntactic phrases or words that participate in a syntactic relationship ( Church , 1988 ; Ramshaw and Marcus , 1995 ; Argamon et al. , 1998 ; Cardie and Pierce , 1998 ; Munoz et al. , 1999 ; Punyakanok and Roth , 2001 ; Buchholz et al. , 1999 ; Tjong Kim Sang and Buchholz , 2000 ) .	Background	train
This was done by MERT optimization ( <CITED HERE> ) towards post-edits under the TER target metric .	Uses	train
She evaluates 3,000 German verbs with a token frequency between 10 and 2,000 against the Duden ( <CITED HERE> ) .	Background	train
The following four components have been identified as the key elements of a question related to patient care ( <CITED HERE> ) :	Background	train
<CITED HERE> report on manually analyzing an open-class vocabulary of 35,000 head words for predicate subcategorization information and comparing the results against the subcategorization details in COMLEX .	CompareOrContrast	train
This is roughly an 11 % relative reduction in error rate over <CITED HERE> and Bods PCFG-reduction reported in Table 1 .	CompareOrContrast	train
Finally , feedback expressions ( head nods and shakes ) are successfully predicted from speech , prosody and eye gaze in interaction with Embodied Communication Agents as well as human communication ( Fujie et al. , 2004 ; <CITED HERE> ; Morency et al. , 2007 ; Morency et al. , 2009 ) .	Background	train
We use the agreement checker code developed by <CITED HERE> and evaluate our baseline ( MaltParser using only CORE12 ) , best performing model ( Easy-First Parser using CORE12 + DET+LMM+PERSON+FN * NGR g + p ) , and the gold reference .	Uses	train
The diagnoser , based on <CITED HERE>b ) , outputs a diagnosis which consists of lists of correct , contradictory and non-mentioned objects and relations from the student 's answer .	Extends	train
The formalization of DLRs provided by <CITED HERE> defines a formal lexical rule specification language and provides a semantics for that language in two steps : A rewrite system enriches the lexical rule specification into a fully explicit description of the kind shown in Figure 1 .	Background	train
Similar to our previous work ( Chan and Ng , 2005b ) , we used the supervised WSD approach described in ( <CITED HERE> ) for our experiments , using the naive Bayes algorithm as our classifier .	Uses	train
Similar to ( <CITED HERE>a ) , our summarization system is , which consists of three key components : an initial sentence pre-selection module to select some important sentence candidates ; the above compression model to generate n-best compressions for each sentence ; and then an ILP summarization method to select the best summary sentences from the multiple compressed sentences .	CompareOrContrast	train
The extraction procedure consists of three steps : First , the bracketing of the trees in the Penn Treebank is corrected and extended based on the approaches of <CITED HERE> and Collins ( 1997 ) .	Background	train
transition-based dependency parsing framework ( <CITED HERE> ) using an arc-eager transition strategy and are trained using the perceptron algorithm as in Zhang and Clark ( 2008 ) with a beam size of 8 .	Uses	train
But their importance has grown far beyond machine translation : for instance , transferring annotations between languages ( Yarowsky and Ngai 2001 ; Hwa et al. 2005 ; Ganchev , Gillenwater , and Taskar 2009 ) ; discovery of paraphrases ( <CITED HERE> ) ; and joint unsupervised POS and parser induction across languages ( Snyder and Barzilay 2008 ) .	Motivation	train
each relevant document is retrieved ( <CITED HERE> ) .	Uses	train
<CITED HERE> have previously examined the task of categorizing sentences in medical abstracts using supervised discriminative machine learning techniques .	Background	train
This recognizer incrementally outputs word hypotheses as soon as they are found in the best-scored path in the forward search ( <CITED HERE> ) using the ISTAR ( Incremental Structure Transmitter And Receiver ) protocol , which conveys word graph information as well as word hypotheses .	Background	train
The recent great advances in speech and language technologies have made it possible to build fully implemented spoken dialogue systems ( <CITED HERE> ; Allen et al. , 1996 ; Zue et al. , 2000 ; Walker et al. , 2000 ) .	Background	train
We posit that this would not have a significant effect on the results , in particular for MML-based classification techniques , such as Decision Graphs ( <CITED HERE> ) .	Background	train
<CITED HERE> showed how the perceptron algorithm can be used to efficiently compute the best parse with DOP1 's subtrees , reporting a 5.1 % relative reduction in error rate over the model in Collins ( 1999 ) on the WSJ .	Background	train
Tateisi et al. also translated LTAG into HPSG ( <CITED HERE> ) .	CompareOrContrast	train
The system utilizes several large size biological databases including three NCBI databases ( GenPept [ 11 ] , RefSeq <CITED HERE> , and Entrez GENE [ 13 ] ) , PSD database from Protein Information Resources ( PIR ) [ 14 ] , and	Uses	train
The LM uses the monolingual data and is trained as a five-gram9 using the SRILM-Toolkit ( <CITED HERE> ) .	Uses	train
There has also been work focused upon determining the political leaning ( e.g. , `` liberal '' vs. `` conservative '' ) of a document or author , where most previously-proposed methods make no direct use of relationships between the documents to be classified ( the `` unlabeled '' texts ) ( <CITED HERE> ; Efron , 2004 ; Mullen and Malouf , 2006 ) .	Background	train
A number of speech understanding systems have been developed during the past fifteen years ( Barnett et al. 1980 , Dixon and Martin 1979 , Erman et al. 1980 , Haton and Pierrel 1976 , Lea 1980 , <CITED HERE> , Medress 1980 , Reddy 1976 , Walker 1978 , and Wolf and Woods 1980 ) .	CompareOrContrast	train
Secondly , the cooperative principle of <CITED HERE> , 1978 ) , under the assumption that referential levels of a writer and a reader are quite similar , implies that the writer should structure the text in a way that makes the construction of his intended model easy for the reader ; and this seems to imply that he should appeal only to the most direct knowledge of the reader .	Motivation	train
In modern syntactic theories ( e.g. , lexical-functional grammar [ LFG ] [ Kaplan and Bresnan 1982 ; Bresnan 2001 ; Dalrymple 2001 ] , head-driven phrase structure grammar [ HPSG ] [ Pollard and Sag 1994 ] , tree-adjoining grammar [ TAG ] [ <CITED HERE> ] , and combinatory categorial grammar [ CCG ] [ Ades and Steedman 1982 ] ) , the lexicon is the central repository for much morphological , syntactic , and semantic information .	Background	train
In this paper , inspired by KNN-SVM ( <CITED HERE> ) , we propose a local training method , which trains sentence-wise weights instead of a single weight , to address the above two problems .	Motivation	train
1990 ) , on linguisitic acquisition ( by the use of Part-of-Speech filters hand-crafted by a linguist ) ( Oueslati , 1999 ) or , more frequently , on a combination of the two ( Smadja , 1993 ; <CITED HERE> , for example ) .	CompareOrContrast	train
<CITED HERE> report excellent part-of-speech tagging results using a handcrafted approach that is close to OT .3 More speculatively , imagine an OT grammar for stylistic revision of parsed sentences .	Background	train
Thus for instance , ( <CITED HERE> ; Copestake et al. , 2001 ) describes a Head Driven Phrase Structure Grammar ( HPSG ) which supports the parallel construction of a phrase structure ( or derived ) tree and of a semantic representation and ( Dalrymple , 1999 ) show how to equip Lexical Functional grammar ( LFG ) with a glue semantics .	Background	train
While many linguistic theories state subcategorization requirements in terms of phrase structure ( CFG categories ) , <CITED HERE> questions the viability and universality of such an approach because of the variety of ways in which grammatical functions may be realized at the language-specific constituent structure level .	Background	train
We are going to make such a comparison with the theories proposed by J. <CITED HERE> , 1982 ) that represent a more computationally oriented approach to coherence , and those of T.A. van Dijk and W. Kintch ( 1983 ) , who are more interested in addressing psychological and cognitive aspects of discourse coherence .	CompareOrContrast	train
11 From ( <CITED HERE> ) , we find that the performance of SAMT system is similar with the method of labeling SCFG rules with POS tags .	Motivation	train
In this paper we focus on the exploitation of the LDOCE grammar coding system ; Alshawi et al. ( 1985 ) and <CITED HERE> describe further research in Cambridge utilising different types of information available in LDOCE .	Background	train
<CITED HERE> observed that some annotators were not familiar with the exact definition of semantic relatedness .	Motivation	train
All current approaches to monolingual TE , either syntactically oriented ( Rus et al. , 2005 ) , or applying logical inference ( Tatu and Moldovan , 2005 ) , or adopting transformation-based techniques ( <CITED HERE> ; Bar-Haim et al. , 2008 ) , incorporate different types of lexical knowledge to support textual inference .	Background	train
Although originally developed as a tool to assist in query formulation , <CITED HERE> pointed out that PICO frames can be employed to structure IR results for improving precision .	Background	train
There has been some controversy , at least for simple stemmers ( Lovins , 1968 ; Porter , 1980 ) , about the effectiveness of morphological analysis for document retrieval ( <CITED HERE> ; Krovetz , 1993 ; Hull , 1996 ) .	Background	train
in history-based models ( <CITED HERE> ) , the probability estimate for each derivation decision di is conditioned on the previous derivation decisions d1 , ... , d , _ 1 , which is called the derivation history at step i .	Uses	train
The reader is referred to <CITED HERE> for a more detailed discussion of our use of constraint propagation .32 We illustrate the result of constraint propagation with our example grammar .	Background	train
Such tools make it easy to run most current approaches to statistical markup , chunking , normalization , segmentation , alignment , and noisy-channel decoding , ' including classic models for speech recognition ( Pereira and Riley , 1997 ) and machine translation ( <CITED HERE> ) .	Background	train
Such technologies require significant human input , and are difficult to create and maintain ( <CITED HERE> ) .	Background	train
We can define PCAT using a probabilistic grammar ( <CITED HERE> ) .	Background	train
It is these orthographic variations and complex morphological structure that make Arabic language processing challenging ( <CITED HERE> ; Xu et al. , 2002 ) .	Background	train
The first is the one used in the chunking competition in CoNLL-2000 ( Tjong Kim <CITED HERE> ) .	Uses	train
There have been many studies on parsing techniques ( Poller and Becker , 1998 ; Flickinger et al. , 2000 ) , ones on disambiguation models ( Chiang , 2000 ; <CITED HERE> ) , and ones on programming/grammar-development environ -	Background	train
For example , <CITED HERE> experimented with abstracts and full article texts in the task of automatically generating index term recommendations and discovered that using full article texts yields at most a 7.4 % improvement in F-score .	Background	train
The ten most specific nouns have been produced by comparing our corpus of computing to the French corpus Le Monde , composed of newspaper articles ( <CITED HERE> ) .	Uses	train
Secondly , we need to investigate techniques for identifying identical documents , virtually identical documents and highly repetitive documents , such as those pioneered by <CITED HERE>b ) and shingling techniques described by Chakrabarti ( 2002 ) .	Future	train
Following the work of <CITED HERE> , we implement a linear-chain CRF merging system using the following features : stemmed ( separated ) surface form , part-of-speech14 and frequencies from the training corpus for bigrams/merging of word and word +1 , word as true prefix , word +1 as true suffix , plus frequency comparisons of these .	Uses	train
<CITED HERE> attempts to improve on the approach of Brent ( 1993 ) by passing raw text through a stochastic tagger and a finite-state parser ( which includes a set of simple rules for subcategorization frame recognition ) in order to extract verbs and the constituents with which they co-occur .	Background	train
From an IR view , a lot of specialized research has already been carried out for medical applications , with emphasis on the lexico-semantic aspects of dederivation and decomposition ( Pacak et al. , 1980 ; Norton and Pacak , 1983 ; Wolff , 1984 ; Wingert , 1985 ; Dujols et al. , 1991 ; <CITED HERE> ) .	Background	train
Rather than producing a complete analysis of sentences , the alternative is to perform only partial analysis of the syntactic structures in a text ( <CITED HERE> ; Abney , 1991 ; Greffenstette , 1993 ) .	Background	train
Thus , over the past few years , along with advances in the use of learning and statistical methods for acquisition of full parsers ( Collins , 1997 ; <CITED HERE>a ; Charniak , 1997b ; Ratnaparkhi , 1997 ) , significant progress has been made on the use of statistical learning methods to recognize shallow parsing patterns syntactic phrases or words that participate in a syntactic relationship ( Church , 1988 ; Ramshaw and Marcus , 1995 ; Argamon et al. , 1998 ; Cardie and Pierce , 1998 ; Munoz et al. , 1999 ; Punyakanok and Roth , 2001 ; Buchholz et al. , 1999 ; Tjong Kim Sang and Buchholz , 2000 ) .	Background	train
Problems such as these have motivated research on more abstract , dependencybased parser evaluation ( e.g. , Lin 1995 ; Carroll , Briscoe , and Sanfilippo 1998 ; Carroll et al. 2002 ; Clark and Hockenmaier 2002 ; King et al. 2003 ; Preiss 2003 ; <CITED HERE> ; Miyao and Tsujii 2004 ) .	Motivation	train
They are widely used in MT as a way to figure out how to translate input in one language into output in another language ( <CITED HERE> ) .	Background	train
Further details about the properties of entropy can be found in textbooks on information theory ( e.g. , <CITED HERE> ) .	Background	train
<CITED HERE> , for example , discussed the transcripts of a dialogue between people who assemble a piece of garden furniture ( originally recorded by Candy Sidner ) .	Background	train
Here , PV ( A ) represents an ascent direction chosen as follows : For inequality constraints , it is the projected gradient ( <CITED HERE> ) ; for equality constraints with slack , we use conjugate gradient ( Nocedal and Wright 1999 ) , noting that when A = 0 , the objective is not differentiable .	Uses	train
Some methods are based on likelihood ( Och and Ney , 2002 ; Blunsom et al. , 2008 ) , error rate ( <CITED HERE> ; Zhao and Chen , 2009 ; Pauls et al. , 2009 ; Galley and Quirk , 2011 ) , margin ( Watanabe et al. , 2007 ; Chiang et al. , 2008 ) and ranking ( Hopkins and May , 2011 ) , and among which minimum error rate training ( MERT ) ( Och , 2003 ) is the most popular one .	Motivation	train
