context	label	split
(2) develop a polymorphic potential model that incorporates simultaneously SW potential, modified SW potential, Tersoff potential (Tersoff, 1989; <CITED HERE> , modified Tersoff potential (Wang & Rockett, 1991) , and embedded-atom method (EAM) potential (Daw & Baskes, 1984) ;	extended	train
(b) Classical molecular dynamics simulations using Stilinger-Weber (SW) <CITED HERE> potential for silicon, reveal that the atomic density of interconnected hollow nano-spheres of amorphous silicon is significantly lower (~15%) than that of bulk amorphous silicon.	not used	train
<CITED HERE> mentioned the meaning of INLINEFORM3 by setting INLINEFORM4 as 3: the effect of atoms to each other is different with respect to a relative pair length BIBREF0 .	extended	train
<CITED HERE> started to create Li INLINEFORM0 Si INLINEFORM1 modified embedded atom potentials and calculated elastic and dynamic properties of Li INLINEFORM2 Si INLINEFORM3 from amorphous phases.	not used	test
A ReaxFF force field which is capable of modeling the pyrolysis and combustion of pure hydrocarbons had been developed previously by the van Duin group <CITED HERE>	not used	train
A Stillinger-Weber (SW) potential [11, <CITED HERE> was used in our simulations.	used	train
A binary metallic glass Cu INLINEFORM0 Zr INLINEFORM1 , containing 6400 copper and 3600 zirconium atoms was simulated by using the embedded atom method potential <CITED HERE> .	used	test
A detailed description of the ReaxFF reactive force field method is given in van Duin et al. 31 and Chenoweth et al. <CITED HERE>	not used	test
A few classical studies can be highlighted for example in BIBREF12 , BIBREF13 , <CITED HERE> while the topic gained new attention more recently in discrete structures such as bridges BIBREF15 or xyloexplosives BIBREF16 .	not used	test
A fingerprint is needed to numerically represent atomic configurations, especially for force field development [5] [6] <CITED HERE> 13, 15, 19, 20.	not used	train
A lloyed iron has incomparable hardness among all metals, in part because of the high density of dislocations [1] <CITED HERE> [3] , a line defect in crystals, which can be formed by quenching, deformation, and irradiation 4 .	not used	test
A model material based on an empirical potential for Cu <CITED HERE> was chosen for the current study as an example.	used	train
A modern version of MD simulations with LAMMPS (large-scale atomic/molecular massively parallel simulator) [15, 16] were performed using Ga-As binary analytical BOP <CITED HERE> .	used	train
A modified variant of the Tersoff interatomic potential function refined by Agrawal et al. [5] , which is robust in predicting the melting point of silicon and an analytical bond order potential (ABOP) proposed by Erhart and Albe <CITED HERE> , which is robust in accurately describing the mechanical properties of silicon, were adopted in this study.	used	train
A more detailed description of the potential can be found in [9] and the parameter values for the carbon system in <CITED HERE>.	used	train
A new development within the area of machine learning force fields is to learn and predict the atomic forces directly BIBREF88 , BIBREF89 , BIBREF90 , BIBREF91 , BIBREF92 , <CITED HERE> ; the total potential energy is determined through appropriate integration of the forces along a reaction coordinate or MD trajectory <CITED HERE> .	not used	test
A reactive force field (ReaxFF) <CITED HERE> were employed to describe the interatomic interactions so that molecules could react freely.	used	train
A recent review of machining of Si was provided by Goel et al. [53] , including information on indentation [42] ; these are based on simulations using the so-called analytical bond order potential by Erhart and Albe <CITED HERE> .	not used	train
A similar result was found in the comparison study of <CITED HERE> on 5 other interatomic potentials, where the lattice configurations were different from those examined in the present study.	not used	test
A strained layer of Ge on a Si(001) substrate was modeled using the Stillinger-Weber potential function to describe the atomic interactions <CITED HERE>. The parameters in the potential function were taken from Ref. BIBREF29	not used	train
A time step of 0.1 fs, which was found suitable for high-temperature (2500 K) ReaxFF MD simulations <CITED HERE> , is adopted for both the equilibrating and reactive simulations.	not used	train
A variety of potentials has been proposed: starting with simple pair potentials BIBREF2 , more accurate embedded-atom potential BIBREF3 and ending with complex bond-order potentials <CITED HERE> , BIBREF5 , BIBREF6 .	not used	train
A wide distribution of vacancy formation energies is found in all cases, ranging from slightly above the vacancy formation energy in fcc Cu (1.27 eV, for the EAM potential used here <CITED HERE> ) down to negative values.	used	val
Abrams et al. [48] use the Tersoff potential <CITED HERE> to understand the influence of crystalline and amorphous phase transitions in Si on the extrusion behavior on the surface.	not used	train
According to the figure, ability of Au_Olsson_JAP2010.eam.alloy <CITED HERE> for prediction of elastic constants, decreases by increasing temperature notwithstanding it is yielding accurate results with acceptable relative errors.	used	train
Accordingly, the Tersoff potential parameters for carbon−nitrogen interactions were obtained using Eq. (1e) in Ref. <CITED HERE>.	extended	train
Accordingly, the present study aims to gain an in-depth understanding of the plasticity mechanisms of silicon during nanometric cutting at different temperatures, using the Stillinger-Weber (SW) potential function <CITED HERE> with the aid of the dislocation extraction algorithm (DXA) [10] .	used	train
Ackland, et al. <CITED HERE> performed a similar study at 0 K using a many-body Finnis-Sinclair potential to investigate the effects of dilute Cu solute additions on the TDE.	not used	val
Additionally application of FS potential in the present study shows a similar result range with Simonelli et al results [26] and Dudarev and Derlet results <CITED HERE> .	not used	train
Additionally, the EAM potential used in this study predicts correctly the trends in surface energy for different surface orientations [17, <CITED HERE> , which is crucial in studies of nanoporous metals since surfaces make up for a large fraction of the material.	not used	train
Additionally, there exists a large body of work regarding diffusion in a number of Cr-alloys [9, <CITED HERE> [17] [18] [19] [20] [21] [22] .	not used	val
After minimisation, which was performed for 95 conformers of n-dodecane using the reactive force field parameters <CITED HERE>, vibration frequencies were computed based on the mobile block Hessian (MBH) approach [41] using the ADF optimiser.	used	train
After the mandatory tests related to accuracy and transferability of the force field, ReaxFF has the advantage of being nearly as accurate as QM but with much lower computational demands <CITED HERE> .	used	train
AgI, carbon-carbon and ion-carbon interactions were modeled using respectively the RVP potential [35] , Tersoff-Ⅱ potential <CITED HERE> and a fitted Lennard-Jones potential [3] .	not used	train
All MD simulations were performed with Cu–Zr systems using lammps BIBREF47 and the Finnis–Sinclair-type potential by Mendelev et al. <CITED HERE>	used	train
All atomistic simulations in the current work are performed using the embedded atom method (EAM) potential of Mishin for Ni and Al <CITED HERE> , which has been shown to represent well the equilibrium properties and defects of both the γ and γ phases.	used	test
All calculations were carried out with the angular dependent potential for the Al-Cu system in <CITED HERE> .	used	train
All fracture simulations are performed employing the long-range bond-order potential for graphene (LCBOP) of Ref. <CITED HERE> .	used	train
All other potentials including Chamati <CITED HERE> and Simonelli BIBREF51 potentials for BCC Fe predicts a degenerate core structure spreading asymmetrically on three {110} planes BIBREF52 .	not used	train
All simulations were performed on Cu using the embedded-atom-method (EAM) interatomic potential developed by <CITED HERE> .	used	val
All simulations were performed with the interatomic potential of Ackland and Mendelev <CITED HERE> .	used	train
All the computations are performed on the LAMMPS platform [26] using Stilinger-Weber (SW) <CITED HERE> potential for silicon.	used	train
All the reported numerical simulations were performed using the Tersoff potential for C, Si, and SiC, where the total energy of the system with one-body, two-body, and three-body contributions and testing indicated its transferability from the molecular to the bulk regime, making it a good choice for atomistic simulations <CITED HERE> .	used	train
All these findings agree with the conclusion of the initiation reaction and first gas product of the decomposition of PEP <CITED HERE> .	not used	train
All which is required are theory calculations of total energies for a range of a 0 values by minimizing the energy of the related structures [1, <CITED HERE> .	not used	test
Also, it is noteworthy that the Tersoff potential predicts well defect formation energies, although related to surfaces the potential may give a wrong result except (100) surface for Si <CITED HERE> .	not used	train
Although a structural configuration including vacancies is non-ideal (Silinsh 1980; <CITED HERE> , it may become acceptable when there are either not enough monovalent cations to substitute with Bi 3+ and/or Sb 3+ , or too much Bi and/or Sb to be accommodated solely via crystallization of coexisting minerals.	not used	val
Although the SW potential has known limitations 36 , it provides a reasonable description of the crystalline and liquid phase <CITED HERE> [38] [39] and has been widely used to study the structure transition of silicon [40] [41] [42] .	not used	train
Although the focus of our work is on the use of quantum mechanics (QM) techniques for studying the properties of As adsorption, it is necessary to frame these results in relationship to experimental and other modeling methods, because QM results can be useful for interpreting experimental data and for parameterizing other modeling methods such as classical force fields <CITED HERE> and surface complexation models [72, 73] .	not used	train
Although there have been many discussions on the validity of the functions <CITED HERE> , all of these functions can effectively reproduce some structural and thermodynamic characteristics of the materials and the relevant structural chemistry for some selected molecules.	not used	train
Although we account only pair harmonic potential for C-C bonds in MD simulations, we argue that using more sophisticated model (E.G. Tersoff <CITED HERE> and optimized Tersoff BIBREF63 potentials accounting for three-atomic torsional rigidity and potentials accounting for next neighbors interactions BIBREF50 ) would slightly renormalize the parameters and the obtained qualitative picture remains intact.	not used	train
Although we do not know the exact contribution of the surface energy to the crystallite formation of CaTiO 3 , we see the differences as a first approach for explaining the partial growth.Pt tends to form {111} facets at higher temperature due to the lowest surface energy of the {111} facet <CITED HERE> 34.	not used	val
Although we have used a GP model, any ML framework, e.g., deep learning, would also be applicable.For materials applications, GAs have typically employed (semi-) empirical potentials [5] [6] [7] [8] [9] [10] [11] to describe the potential energy surface (PES) <CITED HERE> [13] [14] [15].	not used	train
Although we were unable to evaluate G for the L1 0 phase, it is estimated to be -35 kJmol -1 by referring to more accurate calculations for the formation enthalpy of the L1 0 phase based on CALPHAD 22 and ab initio methods <CITED HERE> .	not used	train
Amigo et al. used two kinds of potentials [35, <CITED HERE> in their MD simulations to investigate the phase transformation behaviors, and found that one yields the martensitic transformation from B2 to BCT structure, while the other does not [13] .	not used	train
Among other classical motion, the propagation of incident ions and their generated recoils in an amorphous medium was simulated as a sequence of binary collisions in a repulsive screened Coulomb potential with the Kr-C parametrisation BIBREF37 , and the interaction of Si atoms of the cluster was modelled with the Stillinger-Weber potential <CITED HERE> which fits to the Ziegler-Biersack-Littmark potential BIBREF39 for small interaction distances.	not used	train
Among several force fields for peptide-gold interactions that have been reported in the literature (e.g. [16] [17] [18] ) we used OPLSAA force field and gold atom parameters were taken from Hendrik Heinz et al. where r 0 = 2.951 Å and ε 0 = 5.29 kcal/mol <CITED HERE> .	used	train
Among the alloying elements, C has been modeled with particular care and several potentials have been developed to describe interstitial C in an Fe matrix [11] [12] [13] [14] [15] <CITED HERE> [17] [18] [19] ; however, these focus on describing the low-temperature bcc phase.	not used	val
Among the first studies in this area, Chenoweth et al. developed and implemented a V/O/C/H description aimed at capturing the interaction of hydrocarbons with vanadium oxide. <CITED HERE> 28 Mixed-metal-oxide (MMO) catalysts typically feature partial, mixed, and irregular metal occupations at various crystallographic sites.	not used	test
Among the most famous potentials for silicon, let us quote the Tersoff potential (Tersoff 1986 <CITED HERE> (Tersoff , 1988b ) and the Stillinger-Weber potential (Stillinger & Weber 1985) .	not used	val
Among the possible choices, we considered four different ReaxFF sets, as developed by Mueller et al. BIBREF49 , Mattsson et al. BIBREF61 , Chenoweth et al. <CITED HERE> , and Srinivasan et al. BIBREF63 .	not used	val
Amongst the material models that are now accessible to computational chemists, one can mention metallic surfaces (Ag, Al, Au, Cu, Ni, Pb, Pd, Pt), for which Lennard-Jones potentials for nonbonded interactions have been developed <CITED HERE> .	not used	train
An 11 nm thick free-standing silicon membrane is modeled using the Stillinger-Weber <CITED HERE> potential for Si-Si interactions and a Molière [26] potential for Ga-Ga and Ga-Si interactions.	used	test
An Embedded Atom Method (EAM) potential [21] by Mishin et al. <CITED HERE> is used to model the Cu interatomic forces, which has shown good properties for simulating surfaces.	used	train
An additional challenge is that current semiempirical potentials tend to predict rather low basal stacking fault energies, which fail to capture the deformation behavior of α-Zr (i.e., prism and twinning slip) <CITED HERE> 28, 29.	not used	train
An alternative approach <CITED HERE> is to eliminate the Lennard-Jones couplings with the hydrogen atoms and enhance INLINEFORM2 to about 22 kJ/mol.	not used	train
An alternative approach is the use of classical molecular dynamics simulations based on reactive forcefields [25] <CITED HERE> [27] [28] [29] [30] [31] [32].	not used	train
An embedded atom method (EAM) potential <CITED HERE> is adopted to define the Cu-Cu atoms' interaction.	used	test
An embedded atom method interatomic (EAM) potential for Al-Mg developed by Liu and Adams <CITED HERE> was used here.	used	train
An embedded atom method-type interatomic potential for hcp Zr metal, the AWB95 potential <CITED HERE> , is used in this study.	used	train
An example of CG representations including 3B effects is the mW model, 99 which adopts the same 2B and 3B energy expressions as the Stillinger-Weber model for silicon, <CITED HERE> and was parametrized to reproduce the experimental melting temperature, enthalpy of vaporization, and density of liquid water at ambient conditions.	not used	val
An instructive example of this was encountered by Marder and coworkers BIBREF3 , BIBREF23 when they incorporated potentials that successfully describe equilibrium properties of silicon <CITED HERE> in a molecular dynamics simulation of fracture in this material.	not used	train
An optimized analytical bond-order potential <CITED HERE> was used to describe both the crystalline and amorphous SiC shell.	used	train
Another class of molecular structures comprises the molecular dynamics models, where a two- or three-body potential accounts for the interactions among particles whose relative distance is less than a prescribed cut-off length BIBREF1 , BIBREF2 , BIBREF3 , BIBREF4 , <CITED HERE> .	not used	test
As Chenoweth <CITED HERE> set was already used in Ref. BIBREF38 to investigate PG tensile strain tests, we decided to use Mueller's set BIBREF49 in our calculations, so we would have a good reference for comparisons.	not used	val
As Fig. 3 shows, the potential Au-Grochola-JCP05.eam.alloy that is generated by Becker 3 , based on EAM fitting presented by Grochola et al. <CITED HERE> , showed a good overall agreement with the experimental elastic constants from 100 to 700 K.	used	train
As MEAM potential, we used the Li INLINEFORM0 Si INLINEFORM1 optimized MEAM derived by <CITED HERE> .	used	test
As a bond order-dependent force field, ReaxFF [15, <CITED HERE> allows bonds to break and form during the simulations.	not used	train
